source_id,entry_type,category,title,word_count,h1_h2_h3_h4,tables,images,top_level_structure,method_family,direction_prompt,url,accessed_at,notes
AWP-01,online-paper,工学范文,基于SpringBoot的助农服务平台系统设计与实现,27632,1/14/14/39,11,12,摘要；Abstract；第一章 引言；第二章 系统相关技术分析；第三章 系统需求分析；第四章 系统设计与实现；第五章 系统测试与优化；第六章 结论；参考文献；致谢,软件系统设计,software-system-engineering,https://www.aiwritepaper.com/paper_editor?orderNumber=1949498131427098624,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-02,online-paper,机械设计范文,叶片泵轴选材用材及热处理工艺设计,11779,1/13/19/0,2,14,摘要；Abstract；第一章 绪论；第二章 叶片泵轴的工作环境及性能要求分析；第三章 叶片泵轴选材分析与设计；第四章 叶片泵轴热处理工艺设计；第五章 结论；参考文献；致谢,机械材料与工艺设计,mechanical-material-process,https://www.aiwritepaper.com/paper_editor?orderNumber=2038321546178600960,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-03,online-paper,电路设计范文,基于 CAD 的电动车充电接口电路设计,11209,1/13/18/0,2,10,摘要；Abstract；第一章 绪论；第二章 电动车充电接口技术基础；第三章 电动车充电接口电路方案设计；第四章 基于CAD的电路实现与仿真；第五章 结论；参考文献；致谢,电子电路设计,electronic-circuit-design,https://www.aiwritepaper.com/paper_editor?orderNumber=2038336519713857536,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-04,online-paper,物理范文,二维半导体材料能带结构调控及光电性能研究,15148,1/14/26/0,2,18,摘要；Abstract；第一章 引言；第二章 二维半导体材料的基本特性；第三章 能带结构调控的方法与原理；第四章 能带结构调控对光电性能的影响；第五章 实验设计与测试方法；第六章 结论与展望；参考文献；致谢,物理材料实验,physical-materials-experiment,https://www.aiwritepaper.com/paper_editor?orderNumber=2039643711029125120,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-05,online-paper,化学范文,石墨烯复合材料的微观结构调控及电化学性能分析,15015,1/13/24/0,2,18,摘要；Abstract；第一章 引言；第二章 石墨烯复合材料的制备与表征方法；第三章 微观结构调控对电化学性能的影响；第四章 电化学性能测试与分析；第五章 结论与展望；参考文献；致谢,化学材料实验,chemical-materials-experiment,https://www.aiwritepaper.com/paper_editor?orderNumber=2039643494351380480,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-06,online-paper,管理学范文,关于盒马鲜生的运营管理分析研究,25009,1/14/30/0,5,8,摘要；Abstract；第一章 引言；第二章 盒马鲜生的运营模式分析；第三章 盒马鲜生的运营管理实践；第四章 盒马鲜生运营管理中存在的问题；第五章 国内外零售企业运营管理经验借鉴；第六章 结论与建议；参考文献；致谢,管理案例研究,management-case-analysis,https://www.aiwritepaper.com/paper_editor?orderNumber=1949498690192277504,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-07,online-paper,地理范文,黄土丘陵区典型坡面土壤水分空间分布及剖面变化特征,15239,1/13/20/0,2,10,摘要；Abstract；第一章 引言；第二章 研究区域与数据来源；第三章 土壤水分空间分布特征分析；第四章 土壤水分剖面变化特征分析；第五章 结论与建议；参考文献；致谢,地理空间实证,geography-environmental-empirical,https://www.aiwritepaper.com/paper_editor?orderNumber=2039642716177960960,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-08,online-paper,期刊范文,青蒿素衍生物ART-1对肝细胞癌HepG2细胞凋亡的诱导作用及线粒体通路相关蛋白表达影响,9108,1/14/0/0,3,6,摘要；Abstract；第一章 引言；第二章 概念简述；第三章 理论分析；第四章 实证研究设计；第五章 实验结果与分析；第六章 结论与讨论；参考文献；致谢,生物医学实验期刊,biomedical-experimental-journal,https://www.aiwritepaper.com/paper_editor?orderNumber=1965588401834950656,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-09,online-paper,教育学范文,信息技术在学前教育专业中的应用,26966,1/15/15/42,5,6,摘要；Abstract；第一章 引言；第二章 理论框架与文献综述；第三章 研究方法论；第四章 信息技术在学前教育中的具体应用；第五章 挑战与问题分析；第六章 改进策略与建议；第七章 结论；参考文献；致谢,教育应用研究,education-applied-research,https://www.aiwritepaper.com/paper_editor?orderNumber=1949497037640695808,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
AWP-10,online-paper,艺术学范文,乡村振兴背景下在地性文旅产品设计的路径研究,27276,1/15/15/42,4,6,摘要；Abstract；第一章 引言；第二章 理论框架与文献综述；第三章 研究方法论；第四章 在地性文旅产品设计的路径分析；第五章 典型案例分析；第六章 政策建议与实施路径；第七章 结论；参考文献；致谢,艺术设计实践,art-design-practice,https://www.aiwritepaper.com/paper_editor?orderNumber=1949494469992644608,2026-08-21,公开页面DOM结构提取；不保存范文全文；数字与事实未视为已核验证据
